dataset_id,train_ratio,input_dim,output_dim,num_epochs,batch_size,learning_rate,loss_function,embedding_type,negative_ratio,temperature,train_auc,valid_auc,test_auc,train_pr_auc,valid_pr_auc,test_pr_auc,train_f1,valid_f1,test_f1,train_k_precision,valid_k_precision,test_k_precision,train_mcc,valid_mcc,test_mcc,train_k_recall,valid_k_recall,test_k_recall
1,0.3,64,16,5,64,0.0001,SNN,pca,50,0.1,0.5877,0.643,0.5988,0.0338,0.0533,0.0397,0.0502,0.0502,0.0507,0.039,0.0778,0.0549,0.0079,0.0073,0.0062,0.039,0.0778,0.0549
1,0.5,64,16,5,16,0.001,SNN,pca,20,1.0,0.9333,0.9445,0.9638,0.2363,0.3719,0.3627,0.05,0.0507,0.0507,0.2969,0.4154,0.4154,0.0046,0.0065,0.0046,0.2969,0.4154,0.4154
1,0.5,64,16,5,32,0.0005,SNN,pca,100,10.0,0.9211,0.9425,0.9708,0.1886,0.2782,0.4209,0.05,0.0508,0.0507,0.2109,0.2769,0.4615,0.0056,0.0073,0.0065,0.2109,0.2769,0.4615
1,0.3,64,16,5,64,0.0001,SNN,pca,5,0.1,0.6091,0.5971,0.621,0.038,0.05,0.0355,0.0502,0.0502,0.0507,0.039,0.0667,0.022,0.0079,0.0048,0.0062,0.039,0.0667,0.022
1,0.3,64,16,5,64,0.005,SNN,pca,20,0.1,0.5555,0.676,0.6314,0.0289,0.0396,0.0367,0.0501,0.0502,0.0507,0.026,0.0222,0.033,0.0059,0.0073,0.0048,0.026,0.0222,0.033
1,0.3,64,16,5,64,0.001,SNN,pca,50,1.0,0.5552,0.7536,0.7608,0.0385,0.1578,0.1518,0.0501,0.0502,0.0507,0.0649,0.2667,0.2637,0.0042,0.0055,0.0055,0.0649,0.2667,0.2637
1,0.5,64,16,5,16,0.0001,SNN,pca,100,1.0,0.9293,0.9545,0.9627,0.2126,0.3609,0.38,0.05,0.0507,0.0508,0.2031,0.4,0.3692,0.0069,0.0057,0.008,0.2031,0.4,0.3692
1,0.5,64,16,5,32,0.0005,SNN,pca,10,1.0,0.9189,0.9172,0.9312,0.2325,0.2547,0.3482,0.05,0.0508,0.0507,0.3594,0.4,0.4462,0.004,0.008,0.0046,0.3594,0.4,0.4462
1,0.3,64,16,5,32,0.001,SNN,pca,50,1.0,0.7714,0.8479,0.8212,0.0993,0.2426,0.2044,0.0501,0.0503,0.0508,0.1948,0.3222,0.2637,0.0059,0.0078,0.0087,0.1948,0.3222,0.2637
1,0.3,64,16,5,32,0.001,SNN,pca,20,0.1,0.4295,0.4954,0.5667,0.0212,0.0239,0.031,0.0501,0.0502,0.0507,0.026,0.0,0.033,0.0051,0.0067,0.0055,0.026,0.0,0.033
1,0.3,64,16,5,16,0.0001,SNN,pca,100,0.1,0.576,0.5905,0.6282,0.0316,0.0358,0.0605,0.0502,0.0502,0.0507,0.039,0.0333,0.1429,0.0098,0.0055,0.0055,0.039,0.0333,0.1429
1,0.3,64,16,5,64,0.005,SNN,pca,5,1.0,0.4145,0.6253,0.6808,0.0248,0.078,0.0842,0.0501,0.0502,0.0507,0.026,0.1333,0.1978,0.0059,0.0055,0.0062,0.026,0.1333,0.1978
1,0.8,64,16,50,32,0.001,SNN,pca,50,1.0,0.9511,0.9603,0.9475,0.2854,0.0654,0.0394,0.0603,0.0092,0.0084,0.2883,0.087,0.0381,0.0,0.0,0.0,0.2883,0.087,0.0381
1,0.3,64,16,5,16,0.0005,SNN,pca,20,1.0,0.8431,0.9104,0.9001,0.1635,0.3141,0.2346,0.0501,0.0502,0.0508,0.2078,0.3778,0.3077,0.0066,0.0061,0.0078,0.2078,0.3778,0.3077
1,0.3,64,16,5,32,0.005,SNN,pca,10,0.1,0.5859,0.622,0.6324,0.0304,0.036,0.0442,0.0501,0.0502,0.0507,0.013,0.0333,0.0769,0.0051,0.0055,0.0048,0.013,0.0333,0.0769
1,0.3,64,16,5,64,0.001,SNN,pca,50,10.0,0.5796,0.8171,0.7387,0.0589,0.1481,0.1357,0.0501,0.0502,0.0507,0.1558,0.2667,0.1868,0.0066,0.0048,0.0055,0.1558,0.2667,0.1868
1,0.5,64,16,5,32,0.0001,SNN,pca,200,10.0,0.9466,0.9531,0.934,0.2654,0.3983,0.2745,0.05,0.0507,0.0508,0.3047,0.4923,0.3231,0.0056,0.0057,0.008,0.3047,0.4923,0.3231
1,0.5,64,16,5,32,0.0001,SNN,pca,200,0.1,0.6209,0.5902,0.6854,0.0408,0.0517,0.0527,0.05,0.0507,0.0508,0.0547,0.1077,0.0615,0.0076,0.0057,0.008,0.0547,0.1077,0.0615
1,0.5,64,16,5,64,0.0001,SNN,pca,100,10.0,0.8364,0.8266,0.8694,0.1876,0.2508,0.291,0.05,0.0507,0.0507,0.2891,0.3538,0.3538,0.0069,0.0046,0.0065,0.2891,0.3538,0.3538
1,0.5,64,16,5,32,0.001,SNN,pca,100,1.0,0.9322,0.9534,0.9698,0.2426,0.3706,0.3773,0.0501,0.0508,0.0508,0.2969,0.4154,0.4154,0.0089,0.008,0.0087,0.2969,0.4154,0.4154
1,0.3,64,16,5,64,0.0001,SNN,pca,200,10.0,0.6642,0.7143,0.7128,0.0635,0.0828,0.1041,0.0501,0.0503,0.0507,0.1039,0.1667,0.1538,0.0059,0.0082,0.0039,0.1039,0.1667,0.1538
1,0.5,64,16,5,16,0.0005,SNN,pca,50,10.0,0.7889,0.8795,0.9012,0.1306,0.2471,0.2621,0.05,0.0507,0.0508,0.1953,0.3077,0.3538,0.0061,0.0065,0.0093,0.1953,0.3077,0.3538
1,0.3,64,16,5,32,0.0001,SNN,pca,200,1.0,0.7535,0.8576,0.8073,0.0853,0.2463,0.226,0.0501,0.0502,0.0507,0.1558,0.3556,0.2637,0.0066,0.0048,0.0062,0.1558,0.3556,0.2637
1,0.5,64,16,5,64,0.001,SNN,pca,10,1.0,0.7777,0.8947,0.872,0.1432,0.2636,0.2421,0.05,0.0508,0.0507,0.2891,0.4154,0.3538,0.0056,0.0073,0.0065,0.2891,0.4154,0.3538
1,0.3,64,16,5,16,0.005,SNN,pca,20,1.0,0.6959,0.8408,0.8543,0.1061,0.1643,0.2025,0.0501,0.0502,0.0507,0.2338,0.2444,0.2747,0.0042,0.0067,0.0039,0.2338,0.2444,0.2747
1,0.3,64,16,5,32,0.0001,SNN,pca,100,0.1,0.5932,0.641,0.6335,0.0342,0.0429,0.0637,0.0501,0.0502,0.0508,0.026,0.0556,0.0769,0.0042,0.0048,0.0083,0.026,0.0556,0.0769
1,0.3,64,16,5,64,0.001,SNN,pca,5,1.0,0.6624,0.7604,0.8402,0.068,0.1281,0.2138,0.0502,0.0502,0.0508,0.1299,0.2222,0.2527,0.0084,0.0067,0.0073,0.1299,0.2222,0.2527
1,0.3,64,16,5,32,0.001,SNN,pca,5,1.0,0.4556,0.6801,0.6794,0.0255,0.151,0.096,0.0501,0.0502,0.0508,0.039,0.2111,0.1538,0.0059,0.0073,0.0083,0.039,0.2111,0.1538
1,0.5,64,16,5,32,0.005,SNN,pca,200,0.1,0.485,0.5253,0.5235,0.0236,0.0273,0.0265,0.05,0.0507,0.0507,0.0078,0.0154,0.0154,0.0073,0.0065,0.0046,0.0078,0.0154,0.0154
1,0.3,64,16,5,16,0.005,SNN,pca,5,0.1,0.5581,0.6194,0.555,0.0289,0.0369,0.0313,0.0501,0.0502,0.0507,0.013,0.0222,0.0549,0.0059,0.0048,0.0048,0.013,0.0222,0.0549
1,0.3,64,16,5,32,0.0005,SNN,pca,200,1.0,0.9066,0.8451,0.8635,0.2582,0.2354,0.2811,0.0502,0.0502,0.0507,0.3896,0.4,0.4176,0.0079,0.0027,0.0055,0.3896,0.4,0.4176
1,0.3,64,16,5,64,0.005,SNN,pca,10,0.1,0.5585,0.5903,0.5713,0.0288,0.0329,0.0292,0.0501,0.0502,0.0507,0.026,0.0333,0.022,0.0066,0.0061,0.0039,0.026,0.0333,0.022
1,0.3,64,16,5,32,0.001,SNN,pca,10,1.0,0.7001,0.8891,0.8163,0.0862,0.2093,0.2329,0.0502,0.0502,0.0507,0.1688,0.3111,0.3297,0.0073,0.0055,0.0055,0.1688,0.3111,0.3297
1,0.3,64,16,5,32,0.005,SNN,pca,10,0.1,0.497,0.5536,0.555,0.0272,0.03,0.0287,0.0501,0.0502,0.0508,0.039,0.0333,0.022,0.0066,0.0048,0.0068,0.039,0.0333,0.022
1,0.3,64,16,5,32,0.0005,SNN,pca,200,0.1,0.5319,0.5152,0.5619,0.0273,0.0289,0.0316,0.0502,0.0502,0.0507,0.026,0.0556,0.044,0.0073,0.0061,0.0048,0.026,0.0556,0.044
1,0.5,64,16,5,64,0.001,SNN,pca,5,10.0,0.7678,0.8287,0.8229,0.098,0.1667,0.2263,0.05,0.0507,0.0508,0.1328,0.2154,0.2615,0.0065,0.0046,0.0073,0.1328,0.2154,0.2615
1,0.3,64,16,5,32,0.005,SNN,pca,50,0.1,0.5721,0.5561,0.5477,0.0321,0.0283,0.0281,0.0501,0.0503,0.0507,0.026,0.0222,0.011,0.0059,0.0078,0.0028,0.026,0.0222,0.011
1,0.5,64,16,5,32,0.005,SNN,pca,100,10.0,0.8477,0.8511,0.8675,0.0924,0.0942,0.0932,0.05,0.0507,0.0508,0.0859,0.0308,0.0769,0.0061,0.0057,0.0073,0.0859,0.0308,0.0769
1,0.3,64,16,5,32,0.005,SNN,pca,10,10.0,0.4438,0.6384,0.6584,0.0389,0.1103,0.1156,0.0501,0.0503,0.0507,0.0519,0.2,0.1978,0.0059,0.0082,0.0062,0.0519,0.2,0.1978
1,0.8,64,16,5,16,0.001,SNN,pca,20,10.0,0.9292,0.9412,0.9542,0.3139,0.3802,0.3262,0.0503,0.0506,0.0507,0.4078,0.4231,0.4615,0.0068,0.0,0.0073,0.4078,0.4231,0.4615
1,0.3,64,16,5,16,0.0001,SNN,pca,50,10.0,0.9206,0.9236,0.9011,0.3078,0.3376,0.2702,0.0501,0.0502,0.0507,0.4545,0.4444,0.3736,0.0066,0.0061,0.0062,0.4545,0.4444,0.3736
1,0.8,64,16,50,32,0.001,SNN,pca,50,1.0,0.9451,0.9548,0.942,0.4506,0.1218,0.0695,0.1315,0.0187,0.0178,0.4667,0.14,0.0632,0.0,0.0,0.0,0.4667,0.14,0.0632
1,0.3,64,16,5,32,0.001,SNN,pca,10,0.1,0.4418,0.5788,0.5474,0.0224,0.0305,0.0268,0.0501,0.0502,0.0508,0.026,0.0222,0.0,0.0042,0.0061,0.0068,0.026,0.0222,0.0
1,0.3,64,16,5,32,0.0001,SNN,pca,20,10.0,0.7957,0.8457,0.8148,0.1813,0.2175,0.2386,0.0501,0.0502,0.0507,0.2727,0.3667,0.3516,0.0066,0.0073,0.0062,0.2727,0.3667,0.3516
1,0.5,64,16,5,64,0.005,SNN,pca,50,0.1,0.5033,0.6107,0.5297,0.0277,0.0374,0.0301,0.05,0.0507,0.0507,0.0469,0.0615,0.0462,0.0046,0.0,0.0033,0.0469,0.0615,0.0462
1,0.3,64,16,5,16,0.0005,SNN,pca,50,1.0,0.7272,0.882,0.8548,0.078,0.1946,0.2105,0.0501,0.0503,0.0507,0.1169,0.2111,0.2857,0.0059,0.0078,0.0028,0.1169,0.2111,0.2857
1,0.3,64,16,5,16,0.005,SNN,pca,10,1.0,0.9277,0.9522,0.9494,0.2094,0.2783,0.3392,0.0501,0.0502,0.0508,0.2597,0.2778,0.3187,0.0042,0.0039,0.0083,0.2597,0.2778,0.3187
1,0.3,64,16,5,16,0.0005,SNN,pca,20,1.0,0.8798,0.9203,0.9202,0.1742,0.2567,0.2685,0.0501,0.0502,0.0508,0.2208,0.3222,0.2967,0.0066,0.0039,0.0092,0.2208,0.3222,0.2967
1,0.5,64,16,5,16,0.0005,SNN,pca,20,0.1,0.5035,0.561,0.5703,0.0258,0.0362,0.0283,0.05,0.0507,0.0507,0.0312,0.0615,0.0,0.0065,0.0,0.0057,0.0312,0.0615,0.0
1,0.5,64,16,5,32,0.001,SNN,pca,50,0.1,0.5282,0.4965,0.6603,0.0265,0.0241,0.0508,0.05,0.0507,0.0507,0.0078,0.0,0.0923,0.0065,0.0065,0.0057,0.0078,0.0,0.0923
1,0.3,64,16,5,32,0.001,SNN,pca,5,1.0,0.5014,0.726,0.7,0.0299,0.1617,0.125,0.0501,0.0503,0.0508,0.039,0.2556,0.2198,0.0066,0.0078,0.0078,0.039,0.2556,0.2198
1,0.5,64,16,5,16,0.0001,SNN,pca,5,0.1,0.647,0.7041,0.643,0.0385,0.0509,0.0498,0.05,0.0507,0.0507,0.0391,0.0308,0.0923,0.0069,0.0057,0.0033,0.0391,0.0308,0.0923
