dataset_id,train_ratio,input_dim,output_dim,num_epochs,batch_size,learning_rate,loss_function,embedding_type,negative_ratio,temperature,train_auc,valid_auc,test_auc,train_pr_auc,valid_pr_auc,test_pr_auc,train_f1,valid_f1,test_f1,train_k_precision,valid_k_precision,test_k_precision,train_mcc,valid_mcc,test_mcc,train_k_recall,valid_k_recall,test_k_recall
1,0.5,64,16,5,16,0.0001,SNN,pca,5,1.0,0.847,0.8316,0.8609,0.1912,0.1923,0.2012,0.05,0.0507,0.0507,0.2422,0.2308,0.2615,0.0065,0.0033,0.0065,0.2422,0.2308,0.2615
1,0.3,64,16,5,16,0.005,SNN,pca,10,1.0,0.8475,0.9317,0.9216,0.1792,0.2935,0.3035,0.0502,0.0502,0.0508,0.2208,0.3444,0.4066,0.0084,0.0067,0.0073,0.2208,0.3444,0.4066
1,0.8,64,16,5,16,0.005,SNN,pca,5,10.0,0.7965,0.7442,0.7253,0.1335,0.1678,0.1595,0.0503,0.0507,0.0507,0.2039,0.3077,0.1923,0.0079,0.0052,0.0052,0.2039,0.3077,0.1923
1,0.3,64,16,5,64,0.0005,SNN,pca,10,1.0,0.8152,0.8619,0.8553,0.195,0.266,0.1969,0.0502,0.0502,0.0507,0.3117,0.3778,0.3077,0.0094,0.0067,0.0055,0.3117,0.3778,0.3077
1,0.8,64,16,5,16,0.0001,SNN,pca,20,0.1,0.5438,0.5216,0.506,0.0297,0.0312,0.027,0.0503,0.0507,0.0507,0.0388,0.0385,0.0385,0.0058,0.0052,0.0052,0.0388,0.0385,0.0385
1,0.8,64,16,5,16,0.005,SNN,pca,20,0.1,0.4747,0.6244,0.5677,0.0236,0.0345,0.0287,0.0503,0.0506,0.0508,0.0146,0.0,0.0,0.0063,0.0,0.0103,0.0146,0.0,0.0
1,0.3,64,16,5,16,0.005,SNN,pca,5,10.0,0.873,0.8613,0.8734,0.1946,0.2874,0.2634,0.0501,0.0502,0.0508,0.2727,0.3667,0.3407,0.0059,0.0027,0.0073,0.2727,0.3667,0.3407
1,0.3,64,16,5,16,0.0005,SNN,pca,5,1.0,0.8876,0.8253,0.8461,0.2975,0.273,0.2651,0.0502,0.0502,0.0508,0.3766,0.4222,0.4066,0.0079,0.0061,0.0087,0.3766,0.4222,0.4066
1,0.5,64,16,5,32,0.0005,SNN,pca,20,10.0,0.9405,0.9578,0.9726,0.2496,0.3506,0.3889,0.05,0.0508,0.0508,0.2891,0.4462,0.4462,0.0061,0.008,0.0073,0.2891,0.4462,0.4462
1,0.3,64,16,5,32,0.0001,SNN,pca,50,1.0,0.7249,0.8165,0.8202,0.1115,0.1892,0.2193,0.0501,0.0503,0.0508,0.2338,0.2889,0.2857,0.0059,0.0078,0.0073,0.2338,0.2889,0.2857
1,0.3,64,16,5,16,0.0001,SNN,pca,10,0.1,0.6227,0.6029,0.6628,0.039,0.0391,0.0566,0.0502,0.0502,0.0508,0.0649,0.0444,0.1099,0.0079,0.0061,0.0073,0.0649,0.0444,0.1099
1,0.5,64,16,5,64,0.0005,SNN,pca,100,1.0,0.9121,0.9201,0.9444,0.2406,0.3267,0.2891,0.0501,0.0508,0.0508,0.3203,0.4154,0.3077,0.0083,0.0073,0.008,0.3203,0.4154,0.3077
1,0.3,64,16,5,64,0.001,SNN,pca,100,10.0,0.746,0.7557,0.8411,0.0766,0.0979,0.1729,0.0501,0.0502,0.0508,0.1169,0.1556,0.2527,0.0051,0.0061,0.0073,0.1169,0.1556,0.2527
1,0.5,64,16,5,16,0.001,SNN,pca,50,0.1,0.4486,0.486,0.4012,0.0213,0.0245,0.0199,0.05,0.0508,0.0507,0.0078,0.0154,0.0,0.0056,0.008,0.0065,0.0078,0.0154,0.0
1,0.3,64,16,5,16,0.005,SNN,pca,50,1.0,0.8768,0.897,0.9121,0.1544,0.2478,0.2713,0.0501,0.0503,0.0507,0.2338,0.3222,0.3407,0.0051,0.0087,0.0048,0.2338,0.3222,0.3407
1,0.3,64,16,5,32,0.0001,SNN,pca,5,0.1,0.6001,0.656,0.6751,0.0387,0.0397,0.0646,0.0502,0.0502,0.0507,0.0519,0.0333,0.1099,0.0073,0.0067,0.0055,0.0519,0.0333,0.1099
1,0.5,64,16,5,64,0.001,SNN,pca,100,10.0,0.8505,0.9166,0.9154,0.1813,0.3187,0.3559,0.05,0.0507,0.0507,0.2578,0.3692,0.4462,0.0069,0.0057,0.0065,0.2578,0.3692,0.4462
1,0.3,64,16,5,32,0.0005,SNN,pca,50,1.0,0.8964,0.9325,0.9253,0.2233,0.3338,0.2802,0.0501,0.0502,0.0507,0.3377,0.4222,0.3956,0.0066,0.0061,0.0055,0.3377,0.4222,0.3956
1,0.3,64,16,5,64,0.0005,SNN,pca,200,0.1,0.7577,0.6844,0.6804,0.0746,0.0523,0.0956,0.0501,0.0503,0.0507,0.1299,0.0778,0.1429,0.0059,0.0087,0.0062,0.1299,0.0778,0.1429
1,0.3,64,16,5,64,0.005,SNN,pca,20,10.0,0.3536,0.5755,0.6283,0.0206,0.0648,0.0809,0.0501,0.0502,0.0508,0.0519,0.1333,0.1648,0.0051,0.0067,0.0068,0.0519,0.1333,0.1648
1,0.3,64,16,5,64,0.0005,SNN,pca,20,10.0,0.8684,0.7886,0.8036,0.2101,0.1792,0.2042,0.0501,0.0502,0.0507,0.2727,0.3111,0.3187,0.0059,0.0061,0.0048,0.2727,0.3111,0.3187
1,0.5,64,16,5,64,0.001,SNN,pca,50,10.0,0.8695,0.8818,0.9038,0.1809,0.3063,0.2734,0.0501,0.0507,0.0507,0.2344,0.4154,0.3692,0.008,0.0057,0.0065,0.2344,0.4154,0.3692
1,0.3,64,16,5,16,0.005,SNN,pca,20,1.0,0.9234,0.9221,0.9458,0.2766,0.3052,0.3581,0.0501,0.0502,0.0508,0.3636,0.4,0.4176,0.0066,0.0061,0.0073,0.3636,0.4,0.4176
1,0.3,64,16,5,64,0.0005,SNN,pca,10,0.1,0.5998,0.6365,0.6394,0.0377,0.0418,0.0495,0.0501,0.0503,0.0507,0.039,0.0889,0.044,0.0042,0.0091,0.0062,0.039,0.0889,0.044
1,0.5,64,16,5,64,0.0005,SNN,pca,50,1.0,0.94,0.948,0.9607,0.3185,0.3009,0.3662,0.05,0.0508,0.0507,0.3984,0.4,0.4154,0.004,0.0073,0.0057,0.3984,0.4,0.4154
1,0.3,64,16,5,32,0.001,SNN,pca,50,0.1,0.5102,0.5304,0.5362,0.0248,0.0268,0.0272,0.0501,0.0502,0.0507,0.013,0.0444,0.011,0.0051,0.0048,0.0062,0.013,0.0444,0.011
1,0.3,64,16,5,32,0.001,SNN,pca,10,10.0,0.5938,0.7723,0.7654,0.0605,0.161,0.1379,0.0501,0.0502,0.0507,0.1169,0.2222,0.1978,0.0059,0.0073,0.0028,0.1169,0.2222,0.1978
1,0.3,64,16,5,16,0.0005,SNN,pca,5,0.1,0.6354,0.6415,0.6208,0.0403,0.0361,0.0342,0.0502,0.0502,0.0508,0.039,0.0,0.011,0.0073,0.0067,0.0078,0.039,0.0,0.011
1,0.8,64,16,5,16,0.0001,SNN,pca,10,0.1,0.57,0.5819,0.5817,0.0412,0.0371,0.0325,0.0503,0.0506,0.0507,0.0631,0.0385,0.0385,0.0063,0.0,0.0052,0.0631,0.0385,0.0385
1,0.8,64,16,5,16,0.001,SNN,pca,200,0.1,0.5593,0.6107,0.629,0.0314,0.0398,0.034,0.0503,0.0508,0.0507,0.0485,0.0,0.0,0.0073,0.009,0.0073,0.0485,0.0,0.0
1,0.3,64,16,5,32,0.0005,SNN,pca,50,0.1,0.6111,0.618,0.6016,0.0433,0.0391,0.0415,0.0502,0.0503,0.0508,0.0779,0.0444,0.0879,0.0073,0.0091,0.0068,0.0779,0.0444,0.0879
1,0.5,64,16,5,64,0.005,SNN,pca,20,10.0,0.8036,0.896,0.8249,0.1369,0.2423,0.1178,0.05,0.0507,0.0507,0.2109,0.2769,0.1692,0.0065,0.0065,0.0046,0.2109,0.2769,0.1692
1,0.3,64,16,5,32,0.005,SNN,pca,20,0.1,0.3642,0.3872,0.4066,0.0181,0.0189,0.0197,0.0502,0.0502,0.0507,0.0,0.0,0.0,0.0089,0.0061,0.0028,0.0,0.0,0.0
1,0.3,64,16,5,16,0.001,SNN,pca,100,1.0,0.8503,0.9074,0.9171,0.1388,0.2423,0.2271,0.0501,0.0502,0.0508,0.2078,0.3333,0.3077,0.0042,0.0039,0.0092,0.2078,0.3333,0.3077
1,0.5,64,16,5,64,0.001,SNN,pca,200,10.0,0.9106,0.9189,0.9282,0.2288,0.3094,0.321,0.05,0.0507,0.0507,0.3203,0.3077,0.4,0.0051,0.0065,0.0046,0.3203,0.3077,0.4
1,0.3,64,16,5,64,0.001,SNN,pca,20,1.0,0.4524,0.6121,0.6357,0.029,0.1084,0.0864,0.0501,0.0502,0.0508,0.0519,0.1778,0.1648,0.0051,0.0048,0.0073,0.0519,0.1778,0.1648
1,0.8,64,16,5,16,0.001,SNN,pca,100,10.0,0.9149,0.9251,0.9197,0.2806,0.3412,0.2475,0.0503,0.0507,0.0507,0.3981,0.4231,0.3462,0.006,0.0073,0.0052,0.3981,0.4231,0.3462
1,0.5,64,16,5,64,0.001,SNN,pca,100,1.0,0.8637,0.9256,0.9363,0.1916,0.2809,0.3054,0.05,0.0507,0.0507,0.2734,0.3077,0.3538,0.0076,0.0057,0.0065,0.2734,0.3077,0.3538
1,0.3,64,16,5,16,0.005,SNN,pca,5,0.1,0.5957,0.686,0.6418,0.0372,0.0467,0.0724,0.0501,0.0502,0.0507,0.0649,0.0556,0.0879,0.0051,0.0048,0.0055,0.0649,0.0556,0.0879
1,0.3,64,16,5,16,0.0005,SNN,pca,50,10.0,0.8611,0.9429,0.9097,0.1206,0.2618,0.2407,0.0501,0.0502,0.0508,0.1558,0.3111,0.3187,0.003,0.0067,0.0073,0.1558,0.3111,0.3187
1,0.3,64,16,5,16,0.0005,SNN,pca,5,10.0,0.8666,0.8649,0.821,0.1387,0.1691,0.1746,0.0501,0.0502,0.0507,0.1558,0.2333,0.2527,0.0066,0.0073,0.0062,0.1558,0.2333,0.2527
1,0.3,64,16,5,16,0.001,SNN,pca,5,1.0,0.885,0.9139,0.9163,0.1784,0.2506,0.2407,0.0501,0.0502,0.0507,0.2338,0.3556,0.3407,0.0042,0.0055,0.0062,0.2338,0.3556,0.3407
1,0.1,64,16,50,32,0.001,SNN,pca,50,10.0,0.8730287465080653,0.8036444112179146,0.9050305794481466,,,,,,,,,,,,,,,
1,0.3,64,16,5,32,0.0001,SNN,pca,5,10.0,0.8049,0.7827,0.7852,0.1836,0.1785,0.2471,0.0502,0.0502,0.0508,0.2987,0.3,0.3736,0.0073,0.0061,0.0068,0.2987,0.3,0.3736
1,0.3,64,16,5,32,0.0005,SNN,pca,10,1.0,0.757,0.852,0.8728,0.0992,0.2411,0.25,0.0501,0.0502,0.0507,0.1688,0.3444,0.3407,0.0066,0.0027,0.0039,0.1688,0.3444,0.3407
1,0.5,64,16,5,32,0.0005,SNN,pca,10,10.0,0.6881,0.8147,0.8467,0.0599,0.1712,0.1802,0.05,0.0507,0.0507,0.0859,0.2923,0.2462,0.0051,0.0046,0.0057,0.0859,0.2923,0.2462
1,0.3,64,16,5,16,0.0001,SNN,pca,200,1.0,0.8885,0.8919,0.8899,0.199,0.3119,0.2649,0.0501,0.0502,0.0507,0.3247,0.3778,0.3956,0.0066,0.0055,0.0055,0.3247,0.3778,0.3956
1,0.8,64,16,50,32,0.001,SNN,pca,50,1.0,0.9402,0.9555,0.96,0.2225,0.2639,0.2976,0.0503,0.0507,0.0507,0.2311,0.2462,0.2462,0.0061,0.0056,0.0031,0.2311,0.2462,0.2462
1,0.3,64,16,5,32,0.0001,SNN,pca,10,1.0,0.8053,0.8328,0.8072,0.21,0.2578,0.2575,0.0502,0.0503,0.0507,0.3377,0.3556,0.3846,0.0079,0.0091,0.0039,0.3377,0.3556,0.3846
1,0.5,64,16,5,64,0.0001,SNN,pca,200,0.1,0.6727,0.6411,0.6504,0.0633,0.0458,0.0418,0.05,0.0508,0.0507,0.0703,0.0615,0.0462,0.0076,0.0073,0.0065,0.0703,0.0615,0.0462
1,0.3,64,16,5,32,0.0005,SNN,pca,10,1.0,0.7353,0.8937,0.8791,0.1162,0.2451,0.2304,0.0501,0.0503,0.0507,0.1948,0.3,0.2857,0.0051,0.0082,0.0055,0.1948,0.3,0.2857
1,0.3,64,16,5,32,0.001,SNN,pca,50,10.0,0.7835,0.798,0.7972,0.0606,0.123,0.0936,0.0501,0.0502,0.0508,0.026,0.1778,0.1429,0.0051,0.0061,0.0068,0.026,0.1778,0.1429
1,0.3,64,16,5,16,0.0005,SNN,pca,20,0.1,0.5665,0.5422,0.4954,0.0297,0.0347,0.0243,0.0501,0.0502,0.0507,0.013,0.0667,0.022,0.0059,0.0055,0.0055,0.013,0.0667,0.022
1,0.6,64,16,50,32,0.001,SNN,pca,50,10.0,0.8800276052449965,0.83533076890108,0.880091649694501,,,,,,,,,,,,,,,
1,0.3,64,16,5,64,0.001,SNN,pca,20,10.0,0.6948,0.8226,0.805,0.084,0.2247,0.173,0.0501,0.0502,0.0507,0.1688,0.3333,0.2418,0.0066,0.0067,0.0055,0.1688,0.3333,0.2418
1,0.3,64,16,5,64,0.0005,SNN,pca,20,0.1,0.6506,0.6689,0.6671,0.0504,0.0499,0.0474,0.0501,0.0502,0.0508,0.0779,0.1,0.0549,0.0051,0.0061,0.0068,0.0779,0.1,0.0549
1,0.3,64,16,5,64,0.0001,SNN,pca,50,1.0,0.7004,0.7437,0.7166,0.1021,0.1199,0.0857,0.0501,0.0502,0.0508,0.1818,0.1667,0.1648,0.0042,0.0067,0.0073,0.1818,0.1667,0.1648
1,0.3,64,16,5,64,0.001,SNN,pca,5,1.0,0.6812,0.7738,0.8087,0.0953,0.1201,0.2796,0.0502,0.0503,0.0507,0.1818,0.2,0.2637,0.0079,0.0078,0.0062,0.1818,0.2,0.2637
1,0.5,64,16,5,16,0.0001,SNN,pca,200,0.1,0.546,0.5603,0.5319,0.0283,0.0332,0.0315,0.05,0.0507,0.0508,0.0156,0.0462,0.0462,0.0061,0.0057,0.0073,0.0156,0.0462,0.0462
1,0.3,64,16,5,16,0.0005,SNN,pca,10,10.0,0.7773,0.8937,0.9062,0.0905,0.2092,0.2228,0.0501,0.0502,0.0507,0.1169,0.2667,0.3187,0.0042,0.0055,0.0055,0.1169,0.2667,0.3187
1,0.5,64,16,5,32,0.0005,SNN,pca,20,0.1,0.5577,0.5002,0.5148,0.0283,0.0253,0.0475,0.05,0.0508,0.0508,0.0156,0.0154,0.0615,0.0065,0.0087,0.0073,0.0156,0.0154,0.0615
1,0.6,64,16,50,32,0.001,SNN,pca,50,100.0,0.9064957488421368,0.8541702895130399,0.8656009300973695,,,,,,,,,,,,,,,
1,0.5,64,16,50,32,0.001,SNN,pca,50,100.0,0.7925253548246143,0.7642225112199102,0.8795810101228819,,,,,,,,,,,,,,,
1,0.5,64,16,5,16,0.0001,SNN,pca,50,1.0,0.9548,0.9682,0.965,0.2487,0.3151,0.33,0.05,0.0507,0.0508,0.2422,0.3385,0.3077,0.0061,0.0033,0.0073,0.2422,0.3385,0.3077
1,0.3,64,16,5,32,0.005,SNN,pca,5,10.0,0.6055,0.7719,0.7605,0.0587,0.145,0.1666,0.0501,0.0502,0.0508,0.1299,0.2444,0.2418,0.0059,0.0061,0.0068,0.1299,0.2444,0.2418
1,0.5,64,16,5,32,0.0001,SNN,pca,20,0.1,0.6147,0.5941,0.6244,0.0495,0.0415,0.0614,0.0501,0.0507,0.0507,0.0781,0.0615,0.0923,0.008,0.0065,0.0065,0.0781,0.0615,0.0923
1,0.3,64,16,5,16,0.0001,SNN,pca,50,1.0,0.9053,0.931,0.9307,0.2251,0.2875,0.2963,0.0501,0.0503,0.0508,0.3117,0.3667,0.3516,0.0066,0.0078,0.0083,0.3117,0.3667,0.3516
1,0.5,64,16,5,16,0.0001,SNN,pca,50,0.1,0.5484,0.546,0.5891,0.0277,0.0308,0.0331,0.05,0.0507,0.0508,0.0234,0.0308,0.0308,0.0051,0.0033,0.0073,0.0234,0.0308,0.0308
1,0.3,64,16,5,32,0.005,SNN,pca,10,1.0,0.4959,0.6998,0.6566,0.0844,0.1279,0.1643,0.0502,0.0502,0.0507,0.1429,0.2222,0.2527,0.0079,0.0067,0.0048,0.1429,0.2222,0.2527
1,0.8,64,16,5,16,0.0001,SNN,pca,100,10.0,0.9525,0.9588,0.9567,0.2551,0.2856,0.2642,0.0503,0.0507,0.0507,0.2816,0.2692,0.2692,0.0058,0.0052,0.0052,0.2816,0.2692,0.2692
1,0.3,64,16,5,16,0.001,SNN,pca,100,0.1,0.5799,0.4717,0.5072,0.0326,0.0243,0.0254,0.0501,0.0502,0.0508,0.039,0.0333,0.022,0.0059,0.0055,0.0078,0.039,0.0333,0.022
1,0.3,64,16,5,16,0.005,SNN,pca,10,10.0,0.873,0.8097,0.8641,0.231,0.1568,0.23,0.0501,0.0502,0.0507,0.3506,0.2667,0.2857,0.0051,0.0048,0.0062,0.3506,0.2667,0.2857
1,0.3,64,16,5,64,0.0005,SNN,pca,5,0.1,0.6029,0.6043,0.6155,0.039,0.0357,0.0335,0.0501,0.0502,0.0507,0.0649,0.0444,0.033,0.0066,0.0067,0.0048,0.0649,0.0444,0.033
1,0.5,64,16,5,16,0.005,SNN,pca,50,1.0,0.8867,0.9321,0.9138,0.2747,0.3913,0.2992,0.05,0.0508,0.0507,0.3984,0.4769,0.4615,0.0051,0.0073,0.0057,0.3984,0.4769,0.4615
1,0.3,64,16,5,32,0.0001,SNN,pca,200,10.0,0.8342,0.8198,0.8434,0.22,0.2755,0.2106,0.0502,0.0502,0.0507,0.3506,0.4,0.3407,0.0079,0.0073,0.0055,0.3506,0.4,0.3407
1,0.8,64,16,5,16,0.0001,SNN,pca,10,1.0,0.9646,0.9532,0.9557,0.382,0.4848,0.3162,0.0503,0.0507,0.0507,0.4029,0.5,0.3462,0.0055,0.0052,0.0073,0.4029,0.5,0.3462
1,0.8,64,16,5,16,0.005,SNN,pca,50,10.0,0.9005,0.9109,0.9181,0.1836,0.1712,0.2089,0.0503,0.0506,0.0507,0.233,0.2308,0.2308,0.0058,0.0,0.0073,0.233,0.2308,0.2308
1,0.3,64,16,5,32,0.0001,SNN,pca,50,10.0,0.7785,0.8613,0.8168,0.1159,0.2745,0.222,0.0501,0.0502,0.0507,0.1688,0.3667,0.2857,0.0059,0.0048,0.0062,0.1688,0.3667,0.2857
1,0.5,64,16,5,32,0.005,SNN,pca,100,0.1,0.5143,0.5417,0.5665,0.0267,0.0304,0.0295,0.05,0.0507,0.0507,0.0156,0.0462,0.0154,0.0056,0.0033,0.0065,0.0156,0.0462,0.0154
1,0.3,64,16,5,16,0.005,SNN,pca,100,0.1,0.5111,0.5384,0.5437,0.0268,0.0274,0.0323,0.0501,0.0502,0.0508,0.039,0.0222,0.044,0.0066,0.0067,0.0068,0.039,0.0222,0.044
1,0.5,64,16,5,32,0.001,SNN,pca,100,10.0,0.8703,0.917,0.9086,0.1473,0.3189,0.2405,0.05,0.0508,0.0507,0.1953,0.3538,0.3077,0.0065,0.0073,0.0065,0.1953,0.3538,0.3077
1,0.3,64,16,5,32,0.0001,SNN,pca,20,0.1,0.5983,0.5719,0.6201,0.0351,0.0299,0.0471,0.0501,0.0502,0.0507,0.0519,0.0333,0.0549,0.0051,0.0027,0.0039,0.0519,0.0333,0.0549
1,0.3,64,16,5,64,0.0001,SNN,pca,10,0.1,0.5838,0.6193,0.6103,0.0358,0.0381,0.0405,0.0502,0.0502,0.0508,0.026,0.0333,0.0659,0.0079,0.0055,0.0092,0.026,0.0333,0.0659
1,0.5,64,16,5,32,0.001,SNN,pca,10,10.0,0.8083,0.8812,0.8789,0.1455,0.2697,0.2035,0.05,0.0507,0.0507,0.2188,0.2923,0.2769,0.0051,0.0046,0.0057,0.2188,0.2923,0.2769
1,0.3,64,16,5,16,0.005,SNN,pca,100,1.0,0.9265,0.9605,0.9693,0.2179,0.3478,0.4365,0.0501,0.0502,0.0507,0.2338,0.3889,0.4725,0.0051,0.0061,0.0055,0.2338,0.3889,0.4725
1,0.5,64,16,5,32,0.0005,SNN,pca,5,1.0,0.8009,0.8928,0.9228,0.1111,0.2368,0.3428,0.05,0.0507,0.0507,0.1797,0.2923,0.3385,0.0046,0.0065,0.0057,0.1797,0.2923,0.3385
1,0.3,64,16,5,32,0.0001,SNN,pca,10,1.0,0.8457,0.7995,0.8037,0.2724,0.2427,0.2136,0.0502,0.0502,0.0507,0.4156,0.4,0.3077,0.0084,0.0061,0.0062,0.4156,0.4,0.3077
1,0.5,64,16,5,16,0.001,SNN,pca,10,10.0,0.9043,0.9267,0.9195,0.2388,0.3563,0.3306,0.05,0.0507,0.0507,0.3203,0.4,0.3846,0.0069,0.0046,0.0033,0.3203,0.4,0.3846
1,0.3,64,16,5,64,0.0005,SNN,pca,5,10.0,0.6456,0.7738,0.7017,0.0735,0.18,0.129,0.0501,0.0502,0.0507,0.1948,0.2444,0.1758,0.0059,0.0061,0.0055,0.1948,0.2444,0.1758
1,0.5,64,16,5,64,0.0001,SNN,pca,20,10.0,0.8336,0.7942,0.8533,0.2732,0.2143,0.2834,0.05,0.0508,0.0507,0.3906,0.3692,0.4,0.0051,0.0073,0.0065,0.3906,0.3692,0.4
1,0.3,64,16,5,32,0.0005,SNN,pca,200,10.0,0.7933,0.8822,0.9212,0.1052,0.261,0.2862,0.0501,0.0502,0.0508,0.1558,0.2889,0.2967,0.0051,0.0055,0.0068,0.1558,0.2889,0.2967
1,0.5,64,16,5,64,0.0001,SNN,pca,5,0.1,0.6352,0.5799,0.6188,0.046,0.0301,0.0421,0.05,0.0507,0.0507,0.0547,0.0,0.0462,0.0065,0.0057,0.0046,0.0547,0.0,0.0462
1,0.3,64,16,5,32,0.001,SNN,pca,5,10.0,0.807,0.8998,0.8938,0.1181,0.2035,0.2978,0.0501,0.0503,0.0508,0.1299,0.2444,0.3407,0.0059,0.0078,0.0073,0.1299,0.2444,0.3407
1,0.5,64,16,5,32,0.001,SNN,pca,20,10.0,0.8426,0.8919,0.8766,0.155,0.2349,0.2277,0.05,0.0507,0.0507,0.2109,0.2615,0.3077,0.0056,0.0033,0.0057,0.2109,0.2615,0.3077
1,0.3,64,16,5,16,0.005,SNN,pca,5,10.0,0.8475,0.8546,0.8191,0.086,0.0946,0.0743,0.0501,0.0502,0.0507,0.0,0.0111,0.011,0.0051,0.0061,0.0055,0.0,0.0111,0.011
1,0.3,64,16,5,32,0.0001,SNN,pca,5,10.0,0.8256,0.8219,0.7667,0.2041,0.2619,0.2329,0.0502,0.0502,0.0508,0.3117,0.3889,0.3407,0.0079,0.0048,0.0073,0.3117,0.3889,0.3407
1,0.3,64,16,5,16,0.0005,SNN,pca,100,10.0,0.8388,0.9155,0.9251,0.1138,0.2471,0.2415,0.0501,0.0502,0.0508,0.1558,0.2667,0.3297,0.0066,0.0067,0.0073,0.1558,0.2667,0.3297
1,0.5,64,16,5,16,0.0005,SNN,pca,200,10.0,0.9348,0.9297,0.9182,0.2401,0.3471,0.3056,0.05,0.0507,0.0508,0.3203,0.4308,0.3077,0.0076,0.0033,0.0087,0.3203,0.4308,0.3077
1,0.5,64,16,5,16,0.0001,SNN,pca,50,10.0,0.9541,0.9689,0.955,0.2626,0.3495,0.2623,0.05,0.0507,0.0507,0.2656,0.3846,0.3385,0.0061,0.0057,0.0057,0.2656,0.3846,0.3385
1,0.5,64,16,5,16,0.005,SNN,pca,10,0.1,0.6053,0.6542,0.5506,0.0396,0.0397,0.0336,0.05,0.0508,0.0508,0.0312,0.0308,0.0769,0.0051,0.0073,0.0073,0.0312,0.0308,0.0769
1,0.5,64,16,5,16,0.001,SNN,pca,100,0.1,0.498,0.4718,0.5293,0.025,0.0235,0.0264,0.05,0.0508,0.0508,0.0312,0.0308,0.0308,0.0065,0.0073,0.0073,0.0312,0.0308,0.0308
1,0.5,64,16,5,64,0.005,SNN,pca,50,10.0,0.8079,0.8306,0.8629,0.136,0.2159,0.1482,0.0501,0.0508,0.0507,0.2266,0.2615,0.2,0.008,0.0087,0.0065,0.2266,0.2615,0.2
1,0.5,64,16,5,16,0.001,SNN,pca,10,0.1,0.5535,0.5537,0.5837,0.0283,0.0272,0.0301,0.05,0.0508,0.0507,0.0234,0.0,0.0154,0.0076,0.0087,0.0046,0.0234,0.0,0.0154
1,0.3,64,16,5,16,0.001,SNN,pca,50,10.0,0.8413,0.9058,0.9137,0.1244,0.2661,0.308,0.0501,0.0502,0.0508,0.1818,0.3444,0.3956,0.0042,0.0073,0.0068,0.1818,0.3444,0.3956
1,0.3,64,16,5,16,0.001,SNN,pca,5,10.0,0.8167,0.8648,0.8535,0.1027,0.1838,0.1765,0.0502,0.0503,0.0507,0.1558,0.2667,0.2637,0.0073,0.0091,0.0039,0.1558,0.2667,0.2637
1,0.3,64,16,5,16,0.0005,SNN,pca,20,0.1,0.494,0.5502,0.5305,0.0242,0.0294,0.0262,0.0501,0.0503,0.0507,0.026,0.0111,0.011,0.0066,0.0082,0.0048,0.026,0.0111,0.011
1,0.1,64,16,50,32,0.001,SNN,pca,50,0.1,0.39922873959813276,0.5288703581583668,0.5563729385587675,,,,,,,,,,,,,,,
1,0.3,64,16,5,32,0.001,SNN,pca,5,10.0,0.5462,0.6926,0.7074,0.0356,0.1117,0.1056,0.0501,0.0502,0.0507,0.0519,0.1778,0.1868,0.0066,0.0073,0.0055,0.0519,0.1778,0.1868
1,0.8,64,16,5,16,0.001,SNN,pca,5,0.1,0.6792,0.7175,0.6447,0.043,0.0473,0.0427,0.0503,0.0507,0.0507,0.0291,0.0,0.0,0.0066,0.0073,0.0052,0.0291,0.0,0.0
1,0.3,64,16,5,64,0.0005,SNN,pca,5,10.0,0.7663,0.7914,0.8346,0.0891,0.1991,0.2596,0.0501,0.0503,0.0507,0.1429,0.3111,0.3407,0.0051,0.0078,0.0048,0.1429,0.3111,0.3407
1,0.5,64,16,5,32,0.0001,SNN,pca,100,10.0,0.9394,0.9258,0.9493,0.2672,0.3408,0.3278,0.05,0.0507,0.0509,0.3281,0.4308,0.3538,0.0073,0.0046,0.0103,0.3281,0.4308,0.3538
1,0.3,64,16,5,16,0.001,SNN,pca,5,0.1,0.6066,0.5876,0.5964,0.0337,0.0323,0.0307,0.0502,0.0502,0.0507,0.026,0.0111,0.022,0.0079,0.0067,0.0048,0.026,0.0111,0.022
1,0.5,64,16,5,16,0.001,SNN,pca,50,10.0,0.8606,0.8864,0.9097,0.1704,0.1897,0.3094,0.05,0.0508,0.0507,0.2656,0.3231,0.4154,0.0051,0.008,0.0065,0.2656,0.3231,0.4154
1,0.3,64,16,5,16,0.0005,SNN,pca,10,1.0,0.9281,0.87,0.89,0.2918,0.2374,0.2745,0.0501,0.0502,0.0508,0.4416,0.3889,0.4066,0.0051,0.0067,0.0083,0.4416,0.3889,0.4066
1,0.3,64,16,5,64,0.005,SNN,pca,20,1.0,0.792,0.8735,0.8821,0.1156,0.2519,0.2386,0.0501,0.0502,0.0507,0.1948,0.3222,0.3516,0.0042,0.0055,0.0055,0.1948,0.3222,0.3516
1,0.3,64,16,5,16,0.001,SNN,pca,10,0.1,0.5676,0.6128,0.509,0.0296,0.0328,0.0241,0.0501,0.0502,0.0507,0.0,0.0333,0.011,0.0051,0.0055,0.0055,0.0,0.0333,0.011
1,0.3,64,16,5,64,0.0005,SNN,pca,200,10.0,0.8207,0.8058,0.7532,0.1623,0.1768,0.2093,0.0501,0.0503,0.0508,0.2597,0.2444,0.3297,0.0059,0.0082,0.0068,0.2597,0.2444,0.3297
