DS,iter,Clean,Noisy,SAUCIE,scScope,DeepImpute,MAGIC t=7
1,0,0.6788575479940608,0.47631728040817434,0.5458209399403844,0.4732690627491609,0.5211360066458823,0.4610525193400588
1,1,0.6893841736968834,0.47581836179636167,0.5384927247003704,0.5116115946457359,0.5344675575586567,0.4735537328183411
1,2,0.675672266968405,0.4783280736012375,0.5323039854605408,0.5283721168949598,0.5340689001032849,0.474943065986164
1,3,0.6867992660246771,0.47630057021543415,0.5330412232497664,0.5097305043772747,0.5224760049589486,0.47494585101828735
1,4,0.6849416495983983,0.4792320154561326,0.5563801903052237,0.5532012750672785,0.5382922023874886,0.4698217897730438
1,5,0.6833048464333288,0.4787470220049366,0.4951882602143043,0.5089327916047992,0.5280882425492434,0.4774758537714905
1,6,0.6796978319718505,0.48471057150450614,0.5318412722663319,0.5006343905315274,0.5278165029863502,0.4868387339084822
1,7,0.6829988907614913,0.48239700553346093,0.519299079029663,0.3431398293014025,0.5284240378509737,0.47004101158732514
1,8,0.6810859715544776,0.4720856230276005,0.481925141519418,0.41789864551951994,0.5242930394885726,0.4694255194880634
1,9,0.6939297439839327,0.47784069297965015,0.5131660404323006,0.527103335831905,0.5247895709299938,0.4722917154047288
1,10,0.6824486479862627,0.48158417401517284,0.48676592521154305,0.5206812506863114,0.5282143647182582,0.473796428474805
1,11,0.681685151322731,0.48435249594578894,0.5280874468257795,0.520562488959337,0.5224596926279405,0.4757312300770738
1,12,0.6823627098521705,0.4793939451810191,0.49798562605134966,0.5053397023039378,0.5324647216002317,0.46560047679749955
1,13,0.6797400053154328,0.4758454163941314,0.5045897329392911,0.5044262117674768,0.5342634544901879,0.47923121973266875
1,14,0.6875464503572003,0.4776584723064362,0.5109205088174117,0.42634604581139124,0.5400718379143133,0.46934793645034134
1,15,0.6872003106504403,0.47812277694757294,0.48708262315014195,0.4767917305234746,0.5389944283443063,0.46345560420078336
1,16,0.6796270125835708,0.47785063952294793,0.5336026061534886,0.5330826008698848,0.5330269002274178,0.46748514782154793
1,17,0.6915481436567312,0.4711995849506413,0.5648156547451377,0.4969567556126354,0.521028981839999,0.46333186920215996
1,18,0.6788730646016052,0.4808895074312614,0.5416807907581495,0.47229768333070743,0.5268429353283712,0.4699383632604929
1,19,0.6853442856710894,0.4802760046406592,0.5335333782121368,0.5073063328447591,0.5326863305849044,0.46491774606554537
1,20,0.6937936752716202,0.4764350474808191,0.5052724636712452,0.43650982161471386,0.5369124179012317,0.47336275918702525
1,21,0.6912736190617148,0.48044111725940114,0.5157223020598097,0.35233819361225027,0.5232864493068452,0.4739317014636538
1,22,0.6869826802830865,0.4812730461408207,0.548759944553989,0.5152981814535957,0.5280934147517582,0.47132729856658373
1,23,0.685228507907104,0.47668132389287016,0.5254524085753526,0.5442306865979479,0.5287845005800824,0.4681428132643918
1,24,0.6848644644224082,0.47594766685923173,0.5213958103568184,0.5067986612748445,0.5263006497877805,0.47492834510208337
1,25,0.6787011883334209,0.4714808731951003,0.5212617309531653,0.4802843597370293,0.5273319073968862,0.46997616012502413
1,26,0.6887193467428653,0.47826600717105994,0.5547744203552427,0.51983121909609,0.5453017303802443,0.464992941932876
1,27,0.6950139172033821,0.4776063524195563,0.5328295608083914,0.5568795067787682,0.5323895257329011,0.48007508446604563
1,28,0.6747898096470331,0.48106456659330094,0.5515732248603108,0.47592677911830655,0.5273346924290095,0.46970123766827565
1,29,0.6861742252438494,0.4765150176889326,0.5119820039181424,0.49303602717554773,0.5378521673119985,0.4778184127226633
