,DS,iter,Clean,Noisy,SAUCIE,scScope,DeepImpute,MAGIC t=7
0,1,0,0.6788575479940608,0.4763172804081743,0.5458209399403844,0.4732690627491609,0.5211360066458823,0.4610525193400588
1,1,1,0.6893841736968834,0.4758183617963616,0.5384927247003704,0.5116115946457359,0.5344675575586567,0.4735537328183411
2,1,2,0.675672266968405,0.4783280736012375,0.5323039854605408,0.5283721168949598,0.5340689001032849,0.474943065986164
3,1,3,0.6867992660246771,0.4763005702154341,0.5330412232497664,0.5097305043772747,0.5224760049589486,0.4749458510182873
4,1,4,0.6849416495983983,0.4792320154561326,0.5563801903052237,0.5532012750672785,0.5382922023874886,0.4698217897730438
5,1,5,0.6833048464333288,0.4787470220049366,0.4951882602143043,0.5089327916047992,0.5280882425492434,0.4774758537714905
6,1,6,0.6796978319718505,0.4847105715045061,0.5318412722663319,0.5006343905315274,0.5278165029863502,0.4868387339084822
7,1,7,0.6829988907614913,0.4823970055334609,0.519299079029663,0.3431398293014025,0.5284240378509737,0.4700410115873251
8,1,8,0.6810859715544776,0.4720856230276005,0.481925141519418,0.4178986455195199,0.5242930394885726,0.4694255194880634
9,1,9,0.6939297439839327,0.4778406929796501,0.5131660404323006,0.527103335831905,0.5247895709299938,0.4722917154047288
10,1,10,0.6824486479862627,0.4815841740151728,0.486765925211543,0.5206812506863114,0.5282143647182582,0.473796428474805
11,1,11,0.681685151322731,0.4843524959457889,0.5280874468257795,0.520562488959337,0.5224596926279405,0.4757312300770738
12,1,12,0.6823627098521705,0.4793939451810191,0.4979856260513496,0.5053397023039378,0.5324647216002317,0.4656004767974995
13,1,13,0.6797400053154328,0.4758454163941314,0.5045897329392911,0.5044262117674768,0.5342634544901879,0.4792312197326687
14,1,14,0.6875464503572003,0.4776584723064362,0.5109205088174117,0.4263460458113912,0.5400718379143133,0.4693479364503413
15,1,15,0.6872003106504403,0.4781227769475729,0.4870826231501419,0.4767917305234746,0.5389944283443063,0.4634556042007833
16,1,16,0.6796270125835708,0.4778506395229479,0.5336026061534886,0.5330826008698848,0.5330269002274178,0.4674851478215479
17,1,17,0.6915481436567312,0.4711995849506413,0.5648156547451377,0.4969567556126354,0.521028981839999,0.4633318692021599
18,1,18,0.6788730646016052,0.4808895074312614,0.5416807907581495,0.4722976833307074,0.5268429353283712,0.4699383632604929
19,1,19,0.6853442856710894,0.4802760046406592,0.5335333782121368,0.5073063328447591,0.5326863305849044,0.4649177460655453
20,1,20,0.6937936752716202,0.4764350474808191,0.5052724636712452,0.4365098216147138,0.5369124179012317,0.4733627591870252
21,1,21,0.6912736190617148,0.4804411172594011,0.5157223020598097,0.3523381936122502,0.5232864493068452,0.4739317014636538
22,1,22,0.6869826802830865,0.4812730461408207,0.548759944553989,0.5152981814535957,0.5280934147517582,0.4713272985665837
23,1,23,0.685228507907104,0.4766813238928701,0.5254524085753526,0.5442306865979479,0.5287845005800824,0.4681428132643918
24,1,24,0.6848644644224082,0.4759476668592317,0.5213958103568184,0.5067986612748445,0.5263006497877805,0.4749283451020833
25,1,25,0.6787011883334209,0.4714808731951003,0.5212617309531653,0.4802843597370293,0.5273319073968862,0.4699761601250241
